NAME,POS,TEAM,AGE,FP
Kris Letang,D,PIT,38,1.8
Ivan Demidov,RW,MTL,20,1.8
Nino Niederreiter,LW,WPG,33,1.8
Jackson Lacombe,D,ANA,25,1.7
Marco Rossi,C,MIN,24,1.7
Rasmus Andersson,D,CGY,29,1.6
Frederik Andersen,G,CAR,35,1.6
Joseph Woll,G,TOR,27,1.6
Michael Bunting,LW,NSH,30,1.6
Ryan Donato,"LW,RW",CHI,29,1.6
Filip Hronek,D,VAN,28,1.5
Warren Foegele,RW,L.A,29,1.5
Ryan O'Reilly,C,NSH,35,1.5
Mattias Ekholm,D,EDM,35,1.4
Ilya Sorokin,G,NYI,30,1.4
Pyotr Kochetkov,G,CAR,26,1.4
Patrick Kane,RW,DET,37,1.4
Mason Marchment,LW,SEA,30,1.4
Drew Doughty,D,L.A,36,1.3
Jet Greaves,G,CBJ,24,1.3
Ryan Hartman,"C,RW",MIN,31,1.3
Bobby McMann,LW,TOR,29,1.3
Josh Norris,C,BUF,26,1.3
Jake Neighbours,"LW,RW",STL,23,1.3
Brenden Dillon,D,N.J,35,1.2
Oliver Ekman-Larsson,D,TOR,34,1.2
Jordan Binnington,G,STL,32,1.2
Alex Laferriere,RW,L.A,24,1.2
Jacob Middleton,D,MIN,30,1.1
Erik Karlsson,D,PIT,35,1.1
Travis Sanheim,D,PHI,29,1.1
Niko Mikkola,D,FLA,29,1.1
Tyler Myers,D,VAN,36,1.1
Jacob Markstrom,G,N.J,35,1.1
Thatcher Demko,G,VAN,29,1.1
Kyle Palmieri,RW,NYI,35,1.1
Leo Carlsson,C,ANA,21,1.1
Boone Jenner,"C,LW",CBJ,32,1.1
Erik Cernak,D,T.B,28,1
Zachary Bolduc,RW,MTL,23,1
K'andre Miller,D,CAR,26,0.9
Tyler Seguin,"C,RW",DAL,34,0.9
Garnet Hathaway,RW,PHI,34,0.9
Michael Kesselring,D,BUF,26,0.8
Luke Schenn,D,WPG,36,0.8
Dylan Demelo,D,WPG,32,0.8
Jacob Trouba,D,ANA,32,0.7
Alex Romanov,D,NYI,26,0.7
Brady Skjei,D,NSH,32,0.7
Logan Thompson,G,WSH,28,0.7
Oliver Bjorkstrand,RW,T.B,30,0.7
William Karlsson,C,VGK,33,0.7
Matty Beniers,C,SEA,23,0.7
Phillip Danault,C,L.A,33,0.7
Mats Zuccarello,RW,MIN,38,0.6
Evan Rodrigues,"C,LW,RW",FLA,32,0.6
Josh Manson,D,COL,34,0.5
Fabian Zetterlund,RW,OTT,26,0.5
Tanner Jeannot,"LW,RW",BOS,28,0.5
Mikael Granlund,"C,LW,RW",ANA,34,0.5
Kaiden Guhle,D,MTL,24,0.4
Joey Daccord,G,SEA,29,0.4
Leevi Merilainen,G,OTT,23,0.4
Ryan Leonard,RW,WSH,21,0.4
William Eklund,LW,S.J,23,0.4
Zach Benson,LW,BUF,20,0.4
Luke Hughes,D,N.J,22,0.3
Dustin Wolf,G,CGY,24,0.3
Joel Hofer,G,STL,25,0.3
Akira Schmid,G,VGK,25,0.3
Scott Wedgewood,G,COL,33,0.3
Brandon Duhaime,RW,WSH,28,0.3
Jackson Blake,RW,CAR,22,0.3
Dakota Joshua,"C,LW",TOR,29,0.3
Tyson Foerster,"LW,RW",PHI,24,0.3
Braden Schneider,D,NYR,24,0.2
Logan Mailloux,D,STL,22,0.2
Brock Faber,D,MIN,23,0.2
Karel Vejmelka,G,UTA,29,0.2
Casey DeSmith,G,DAL,34,0.2
Jiri Kulich,C,BUF,21,0.2
Trevor Moore,"LW,RW",L.A,30,0.2
Esa Lindell,D,DAL,31,0.1
Sam Montembeault,G,MTL,28,0.1
Nicolas Roy,"C,RW",TOR,29,0.1
Keegan Kolesar,RW,VGK,28,0.1
Josh Anderson,RW,MTL,31,0.1
Will Smith,"C,RW",S.J,20,0.1
Lawson Crouse,"LW,RW",UTA,28,0.1
Max Domi,"C,LW",TOR,31,0.1
Jeremy Swayman,G,BOS,26,0
Cam Talbot,G,DET,38,0
Troy Terry,RW,ANA,28,0
Logan Stankoven,"C,RW",CAR,23,0
Mark Kastelic,"C,RW",BOS,27,0
Eetu Luostarinen,LW,FLA,27,0
Claude Giroux,"LW,RW",OTT,38,0
Marcus Pettersson,D,VAN,29,-0.1
Charlie Lindgren,G,WSH,31,-0.1
Aliaksei Protas,RW,WSH,25,-0.1
Frank Nazar,C,CHI,22,-0.1
Eeli Tolvanen,"LW,RW",SEA,26,-0.1
Vladislav Namestnikov,"C,LW",WPG,33,-0.1
Colton Parayko,D,STL,32,-0.2
Sean Walker,D,CAR,31,-0.2
Sean Durzi,D,UTA,27,-0.2
Matt Coronato,RW,CGY,23,-0.2
Shane Pinto,C,OTT,25,-0.2
Dmitry Orlov,D,S.J,34,-0.3
Jalen Chatfield,D,CAR,29,-0.3
Simon Edvinsson,D,DET,23,-0.3
Matt Roy,D,WSH,31,-0.3
Nick Seeler,D,PHI,32,-0.3
Juuse Saros,G,NSH,30,-0.3
Jake Allen,G,N.J,35,-0.3
Pavel Zacha,"C,LW",BOS,28,-0.3
Jordan Staal,C,CAR,37,-0.3
Kent Johnson,"C,LW,RW",CBJ,23,-0.3
Dylan Samberg,D,WPG,27,-0.4
Alexander Nikishin,D,CAR,24,-0.4
Cam Fowler,D,STL,34,-0.4
Dante Fabbro,D,CBJ,27,-0.4
Shane Wright,C,SEA,22,-0.4
Sean Couturier,C,PHI,33,-0.4
Scott Laughton,"C,LW",TOR,31,-0.4
Ian Cole,D,UTA,37,-0.5
Bowen Byram,D,BUF,24,-0.5
Eric Comrie,G,WPG,30,-0.5
Brendan Gallagher,RW,MTL,33,-0.5
Dawson Mercer,"C,RW",N.J,24,-0.5
Yanni Gourde,C,T.B,34,-0.5
Andrew Mangiapane,"LW,RW",EDM,29,-0.5
Barrett Hayton,C,UTA,25,-0.5
Tyler Bertuzzi,"LW,RW",CHI,31,-0.5
William Borgen,D,NYR,29,-0.6
Alex Lyon,G,BUF,32,-0.6
Mackie Samoskevich,RW,FLA,23,-0.6
Nick Schmaltz,"C,RW",UTA,30,-0.6
Jordan Martinook,LW,CAR,33,-0.6
Simon Benoit,D,TOR,27,-0.7
Daniil Tarasov (G),G,FLA,26,-0.7
Mikael Backlund,C,CGY,37,-0.7
Mikey Anderson,D,L.A,26,-0.8
Kevin Lankinen,G,VAN,30,-0.8
Jimmy Snuggerud,RW,STL,21,-0.8
Jesperi Kotkaniemi,C,CAR,25,-0.8
Nic Dowd,C,WSH,35,-0.8
Vladislav Gavrikov,D,NYR,30,-0.9
Brandon Carlo,D,TOR,29,-0.9
Jaccob Slavin,D,CAR,31,-0.9
Ben Chiarot,D,DET,34,-0.9
Anton Forsberg,G,L.A,32,-0.9
Adam Henrique,"C,LW",EDM,36,-0.9
Justin Faulk,D,STL,34,-1
Ryan McDonagh,D,T.B,36,-1
Owen Power,D,BUF,23,-1
Connor Murphy,D,CHI,33,-1
Ukko-Pekka Luukkonen,G,BUF,26,-1
Andrei Kuzmenko,"LW,RW",L.A,30,-1
Jaden Schwartz,"C,LW",SEA,33,-1
Adam Larsson,D,SEA,33,-1.1
Jean-Gabriel Pageau,"C,RW",NYI,33,-1.1
Gabriel Perreault,RW,NYR,19,-1.1
Filip Chytil,C,VAN,26,-1.1
Trevor Zegras,C,PHI,25,-1.1
Adam Lowry,C,WPG,33,-1.1
Hampus Lindholm,D,BOS,32,-1.2
John Gibson,G,DET,32,-1.2
Teuvo Teravainen,"LW,RW",CHI,31,-1.2
Jonathan Drouin,"LW,RW",NYI,31,-1.2
Mike Matheson,D,MTL,32,-1.3
Brent Burns,D,COL,40,-1.3
Lukas Dostal,G,ANA,25,-1.3
Yaroslav Askarov,G,S.J,23,-1.3
Sam Carrick,C,NYR,34,-1.3
Vasily Podkolzin,"LW,RW",EDM,24,-1.3
Viktor Arvidsson,"LW,RW",BOS,32,-1.3
Lian Bichsel,D,DAL,21,-1.4
Artem Zub,D,OTT,30,-1.4
Ville Koivunen,RW,PIT,22,-1.4
Jakub Dobes,G,MTL,24,-1.5
David Rittich,G,NYI,33,-1.5
Mavrik Bourque,"C,RW",DAL,24,-1.5
Isaac Howard,LW,EDM,21,-1.5
Brett Howden,"C,LW",VGK,27,-1.5
Jonas Johansson,G,T.B,29,-1.6
Martin Pospisil,"C,RW",CGY,26,-1.6
Morgan Frost,C,CGY,26,-1.6
Nick Foligno,"C,LW",CHI,38,-1.6
Alex Carrier,D,MTL,29,-1.7
Martin Fehervary,D,WSH,26,-1.7
Nils Hoglander,LW,VAN,25,-1.7
Rasmus Sandin,D,WSH,26,-1.8
Spencer Knight,G,CHI,24,-1.8
Reilly Smith,RW,VGK,35,-1.8
Vladimir Tarasenko,"LW,RW",MIN,34,-1.8
Zachary L'Heureux,LW,NSH,22,-1.8
Parker Kelly,"C,LW",COL,26,-1.8
