RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
256,Jonathan Quick,N,G,49,NYR,39,CA$1.6,-1.9,-0.1,-4.5,-2.9,—,N/A,, ,,,,,,,,,,,,,,,,,,,,20,10,8,3,1,545,61,0.9,3.03
257,Adam Pelech,N,D,112,NYI,31,CA$5.8,-2.2,0,-4.6,-0.8,—,N/A,, ,73,21.3,3,21,24,120,0,0,0,1,120,83,-1,39,1,0,0,0%,,,,,,,,,,
258,Tristan Jarry,N,G,50,PIT,30,CA$5.4,-1.9,0,-4.6,-0.9,177,-81,, ,,,,,,,,,,,,,,,,,,,,40,16,18,6,2,"1,094",118,0.903,2.94
259,Anthony Cirelli,N,C,49,T.B,28,CA$6.3,3.6,0,-4.6,-0.7,—,N/A,, ,79,18.7,23,29,52,156,3,6,2,4,70,41,9,30,4,611,611,50%,,,,,,,,,,
260,Ilya Lyubushkin,N,D,113,DAL,31,CA$3.3,-2.2,0,-4.6,-1.4,—,N/A,, ,79,17.3,1,12,14,55,0,0,0,0,137,108,4,39,0,0,0,0%,,,,,,,,,,
261,Cole Perfetti,N,"C,LW,RW",46,WPG,24,CA$3.3,3.5,0,-4.7,-1.4,168.7,-92.3,, ,77,16.8,22,33,55,161,7,19,0,0,40,64,5,24,4,24,49,33%,,,,,,,,,,
262,Brett Pesce,N,D,114,N.J,31,CA$5.5,-2.3,0,-4.7,-0.9,—,N/A,, ,79,21.2,4,17,21,117,0,0,0,1,141,38,3,31,1,0,0,0%,,,,,,,,,,
263,Mason McTavish,N,C,51,ANA,23,CA$0.0,3.4,0,-4.7,N/A,153.9,-109.1,,+ +,78,17.4,25,33,58,189,6,12,0,0,36,75,-5,54,4,488,510,49%,,,,,,,,,,
264,Sam Rinzel,N,D,115,CHI,21,CA$0.9,-2.3,0,-4.7,-5,170.6,-93.4,,-,65,22.3,4,27,31,120,1,14,0,0,91,87,-5,27,1,0,0,0%,,,,,,,,,,
265,Darren Raddysh,N,D,116,T.B,30,CA$1.0,-2.4,0,-4.7,-4.9,—,N/A,, ,74,16.9,5,24,29,98,1,7,0,0,77,56,7,19,1,0,0,0%,,,,,,,,,,
266,Conor Garland,N,RW,55,VAN,30,CA$5.9,3,0,-4.7,-0.8,—,N/A,, ,82,18.7,21,31,52,184,4,12,0,0,52,55,2,37,3,4,13,24%,,,,,,,,,,
267,Artyom Levshunov,N,D,117,CHI,20,CA$1.0,-2.4,0,-4.8,-4.9,—,N/A,, ,78,20.7,4,27,32,108,1,11,0,0,106,94,-8,37,1,0,0,0%,,,,,,,,,,
268,Petr Mrazek,N,G,51,ANA,33,CA$4.3,-2.2,-0.1,-4.8,-1.1,—,N/A,, ,,,,,,,,,,,,,,,,,,,,23,10,10,3,1,644,70,0.902,3.06
269,Blake Coleman,N,"C,LW,RW",47,CGY,34,CA$4.9,3.3,0,-4.8,-1,180.5,-88.5,, ,81,17.2,21,24,45,189,4,5,2,3,60,146,-3,48,3,34,38,47%,,,,,,,,,,
270,Tony Deangelo,N,D,118,NYI,30,CA$1.8,-2.5,0,-4.9,-2.8,—,N/A,, ,65,20.3,8,25,33,126,2,13,0,0,76,47,-3,27,1,0,0,0%,,,,,,,,,,
271,Kevin Bahl,N,D,119,CGY,25,CA$5.4,-2.5,0,-4.9,-0.9,—,N/A,, ,76,21.3,3,16,19,83,0,0,0,0,124,125,-5,48,0,0,0,0%,,,,,,,,,,
272,Janis Moser,N,D,120,T.B,25,CA$3.4,-2.5,0,-4.9,-1.4,—,N/A,, ,77,18.8,4,17,21,74,0,1,0,1,104,73,6,31,1,0,0,0%,,,,,,,,,,
273,Scott Mayfield,N,D,121,NYI,33,CA$3.5,-2.5,0,-4.9,-1.4,—,N/A,, ,74,18.7,4,12,15,74,0,0,0,1,133,104,-1,43,1,0,0,0%,,,,,,,,,,
274,Dan Vladar,N,G,52,PHI,28,CA$3.4,-2.3,-0.1,-4.9,-1.5,—,N/A,, ,,,,,,,,,,,,,,,,,,,,24,11,10,3,1,624,71,0.898,2.96
275,Anton Lundell,N,C,54,FLA,24,CA$5.0,3.2,0,-4.9,-1,179,-96,, ,80,16.4,18,29,47,180,2,6,1,1,55,100,6,35,3,500,460,52%,,,,,,,,,,
276,Ryan Pulock,N,D,122,NYI,31,CA$6.2,-2.6,0,-4.9,-0.8,—,N/A,, ,77,20.9,5,18,22,100,1,2,0,1,161,108,-3,20,1,0,0,0%,,,,,,,,,,
277,Brayden Schenn,N,C,55,STL,34,CA$6.5,3.2,0,-5,-0.8,—,N/A,, ,82,16,19,29,48,129,3,9,0,0,43,158,0,46,3,493,496,50%,,,,,,,,,,
278,Vitek Vanecek,N,G,53,UTA,28,CA$2.0,-2.3,-0.1,-5,-2.6,186,-92,, ,,,,,,,,,,,,,,,,,,,,18,9,7,2,1,478,54,0.898,3.02
279,Elvis Merzlikins,N,G,54,CBJ,31,CA$5.4,-2.3,-0.1,-5,-0.9,—,N/A,, ,,,,,,,,,,,,,,,,,,,,40,19,16,5,2,"1,074",120,0.9,3
280,Chris Kreider,N,LW,48,ANA,34,CA$6.5,3.2,0,-5,-0.8,172.1,-107.9,, ,79,18.3,30,22,52,201,8,13,3,4,31,102,-3,29,4,35,52,40%,,,,,,,,,,
281,Jared Spurgeon,N,D,123,MIN,36,CA$7.6,-2.6,0,-5,-0.7,—,N/A,, ,70,19.6,6,19,26,105,0,3,0,0,120,65,3,17,1,0,0,0%,,,,,,,,,,
282,Mark Stone,N,RW,56,VGK,33,CA$9.5,2.7,0,-5,-0.5,157.3,-124.7,, ,68,18.1,20,41,61,140,4,18,1,2,43,40,6,20,3,2,10,16%,,,,,,,,,,
283,Mario Ferraro,N,D,124,S.J,27,CA$3.3,-2.7,0,-5.1,-1.6,—,N/A,, ,80,22.4,5,16,21,100,0,0,0,1,151,134,-11,43,1,0,0,0%,,,,,,,,,,
284,Marcus Foligno,N,LW,49,MIN,34,CA$4.0,3.1,0,-5.1,-1.3,—,N/A,, ,76,14.6,13,16,29,89,0,0,0,1,51,228,3,65,2,8,11,41%,,,,,,,,,,
285,Ross Colton,N,"C,LW",50,COL,29,CA$4.0,3.1,0,-5.1,-1.3,165,-120,, ,78,14.2,18,19,37,152,4,7,0,0,48,161,5,36,3,125,131,49%,,,,,,,,,,
286,Jonas Brodin,N,D,125,MIN,32,CA$6.0,-2.7,0,-5.1,-0.9,—,N/A,, ,65,23,6,20,26,105,0,0,0,1,132,40,2,26,1,0,0,0%,,,,,,,,,,
287,Jj Peterka,N,"LW,RW",51,UTA,24,CA$7.7,3.1,0,-5.1,-0.7,124.9,-162.1,,+,81,17.3,29,36,65,193,6,16,0,0,20,35,0,27,4,3,9,26%,,,,,,,,,,
288,Jonathan Huberdeau,N,"C,LW",52,CGY,32,CA$10.5,3.1,0,-5.1,-0.5,175.2,-112.8,, ,81,19.5,23,38,61,157,7,20,3,3,58,58,-4,39,3,14,22,39%,,,,,,,,,,
289,Valeri Nichushkin,N,"LW,RW",53,COL,31,CA$6.1,3,0,-5.1,-0.8,103.7,-185.3,, ,68,18.4,26,26,52,174,9,13,0,1,33,80,5,18,4,2,6,29%,,,,,,,,,,
290,Ridly Greig,N,"C,RW",58,OTT,23,CA$3.3,2.5,0,-5.2,-1.6,—,N/A,, ,79,16.8,15,21,36,123,3,8,2,3,47,133,1,60,3,203,205,50%,,,,,,,,,,
291,Cam York,N,D,126,PHI,25,CA$5.2,-2.9,0,-5.3,-1,—,N/A,, ,76,21,6,17,23,85,0,1,0,1,147,78,-4,35,1,0,0,0%,,,,,,,,,,
292,Jordan Spence,N,D,127,OTT,25,CA$1.5,-2.9,0,-5.3,-3.5,—,N/A,, ,79,17.7,4,23,26,92,0,2,0,0,90,89,4,21,1,0,0,0%,,,,,,,,,,
293,Gabriel Landeskog,N,LW,54,COL,33,CA$7.0,2.8,0,-5.3,-0.8,—,N/A,,+,62,17,17,21,38,141,5,11,0,1,35,84,5,55,3,0,0,0%,,,,,,,,,,
294,Ivan Prosvetov,N,G,55,CGY,26,CA$0.9,-2.7,-0.1,-5.4,-6,—,N/A,, ,,,,,,,,,,,,,,,,,,,,20,8,9,3,1,533,61,0.898,3.03
295,Trent Frederic,N,C,58,EDM,28,CA$3.9,2.8,0,-5.4,-1.4,—,N/A,, ,77,13.6,14,16,30,111,2,3,0,0,40,175,6,53,2,104,144,42%,,,,,,,,,,
296,Jayden Struble,N,D,128,MTL,24,CA$1.4,-3.1,0,-5.5,-3.9,—,N/A,, ,71,15.9,3,12,15,61,0,0,0,0,80,130,1,43,0,0,0,0%,,,,,,,,,,
297,Philip Broberg,N,D,129,STL,24,CA$4.6,-3.1,0,-5.5,-1.2,188.7,-108.3,, ,73,20.2,6,17,23,103,0,1,0,0,116,62,3,21,1,0,0,0%,,,,,,,,,,
298,Joel Edmundson,N,D,130,L.A,32,CA$3.9,-3.1,0,-5.5,-1.4,—,N/A,, ,74,19.2,4,13,17,86,0,0,0,0,107,101,1,32,1,0,0,0%,,,,,,,,,,
299,Alex Vlasic,N,D,131,CHI,24,CA$4.6,-3.2,0,-5.6,-1.2,—,N/A,, ,80,23.6,5,25,29,106,1,8,0,0,158,65,-10,27,1,0,0,0%,,,,,,,,,,
300,Pavel Buchnevich,N,"C,LW,RW",55,STL,30,CA$7.7,2.6,0,-5.6,-0.7,157.9,-142.1,, ,79,17.9,23,37,60,158,5,14,1,2,29,50,2,30,4,40,64,38%,,,,,,,,,,
301,Sean Monahan,N,C,61,CBJ,31,CA$5.5,2.5,0,-5.6,-1,167.5,-133.5,,+,71,19,24,40,64,170,7,16,1,3,44,40,2,22,3,773,659,54%,,,,,,,,,,
302,Jack McBain,N,"C,LW",56,UTA,26,CA$4.3,2.5,0,-5.6,-1.3,146,-156,, ,80,14,12,16,29,89,0,1,0,0,50,262,0,57,2,263,298,47%,,,,,,,,,,
303,Damon Severson,N,D,132,CBJ,31,CA$6.3,-3.3,0,-5.7,-0.9,—,N/A,, ,78,17.4,6,18,24,87,0,1,0,0,102,56,-1,40,1,0,0,0%,,,,,,,,,,
304,Nicolas Hague,N,D,133,NSH,27,CA$5.5,-3.3,0,-5.7,-1,—,N/A,, ,78,18.9,4,12,16,99,0,0,0,0,110,115,-5,42,1,0,0,0%,,,,,,,,,,
305,Mathieu Olivier,N,RW,62,CBJ,29,CA$3.0,2,0,-5.7,-1.9,—,N/A,, ,77,11.8,11,11,22,87,0,1,0,1,56,217,-2,79,1,8,18,30%,,,,,,,,,,
306,Jared McCann,N,"C,LW",57,SEA,29,CA$5.0,2.4,0,-5.7,-1.1,172.3,-133.7,, ,81,17.4,27,34,61,203,5,15,1,2,44,53,-3,25,4,101,134,43%,,,,,,,,,,
307,Elias Lindholm,N,C,64,BOS,31,CA$7.8,2.4,0,-5.7,-0.7,—,N/A,, ,81,19.5,20,35,54,174,5,15,1,2,75,109,-3,22,3,825,655,56%,,,,,,,,,,
308,Jamie Oleksiak,N,D,134,SEA,33,CA$4.6,-3.4,0,-5.8,-1.3,—,N/A,, ,81,19,4,14,18,79,0,0,0,0,155,90,-6,38,1,0,0,0%,,,,,,,,,,
309,Artturi Lehkonen,N,"LW,RW",58,COL,30,CA$4.5,2.4,0,-5.8,-1.3,163.5,-145.5,, ,70,19.2,24,23,48,148,4,9,1,1,37,46,8,30,4,7,13,33%,,,,,,,,,,
310,Jason Zucker,N,LW,59,BUF,34,CA$4.8,2.4,0,-5.8,-1.2,—,N/A,, ,78,15.1,20,27,47,156,7,16,0,0,25,89,1,41,3,31,54,36%,,,,,,,,,,
311,Matt Dumba,N,D,135,PIT,31,CA$3.8,-3.4,0,-5.8,-1.5,—,N/A,, ,78,18,3,10,13,79,0,1,0,0,98,118,-7,58,0,0,0,0%,,,,,,,,,,
312,Timothy Liljegren,N,D,136,S.J,26,CA$3.0,-3.4,0,-5.8,-1.9,—,N/A,, ,74,19.5,6,16,22,102,1,2,0,1,128,89,-7,35,1,0,0,0%,,,,,,,,,,
313,Alex Nedeljkovic,N,G,56,S.J,29,CA$2.5,-3.2,-0.1,-5.8,-2.3,—,N/A,, ,,,,,,,,,,,,,,,,,,,,32,12,15,5,1,897,99,0.901,3.09
314,Owen Tippett,N,"LW,RW",60,PHI,27,CA$6.2,2.4,0,-5.8,-0.9,175.1,-138.9,, ,80,17,24,25,49,218,3,8,0,0,60,125,-3,20,4,12,14,46%,,,,,,,,,,
315,Logan Stanley,N,D,137,WPG,27,CA$1.3,-3.4,-0.1,-5.8,-4.7,—,N/A,, ,65,15.4,2,10,12,55,0,0,0,0,79,86,3,51,0,0,0,0%,,,,,,,,,,
316,Anze Kopitar,N,C,65,L.A,38,CA$7.0,2.3,0,-5.9,-0.8,167.5,-148.5,, ,82,18.3,23,43,66,120,6,20,0,1,62,39,3,11,4,833,651,56%,,,,,,,,,,
317,Tyler Toffoli,N,"LW,RW",61,S.J,33,CA$6.0,2.3,0,-5.9,-1,173.5,-143.5,, ,81,17.3,32,28,59,243,7,17,0,0,29,67,-7,22,4,15,15,50%,,,,,,,,,,
318,Ivan Demidov,N,RW,63,MTL,20,CA$0.9,1.8,0,-5.9,-6.3,—,N/A,,+,75,16,21,32,53,155,6,15,0,0,33,81,1,25,3,0,0,0%,,,,,,,,,,
319,Dmitri Voronkov,N,LW,62,CBJ,25,CA$4.2,2.3,0,-5.9,-1.4,—,N/A,, ,79,16.2,21,24,45,160,6,9,0,0,50,81,1,43,3,83,115,42%,,,,,,,,,,
320,Rasmus Ristolainen,N,D,138,PHI,31,CA$5.1,-3.5,-0.1,-5.9,-1.2,—,N/A,, ,68,20.7,4,16,20,104,0,4,0,1,109,108,-3,25,1,0,0,0%,,,,,,,,,,
321,John Klingberg,N,D,139,S.J,33,CA$4.0,-3.5,-0.1,-5.9,-1.5,182,-139,, ,59,21.2,7,23,30,104,2,11,0,0,80,60,-6,32,1,0,0,0%,,,,,,,,,,
322,Justus Annunen,N,G,57,NSH,25,CA$0.8,-3.3,-0.2,-5.9,-7.1,—,N/A,, ,,,,,,,,,,,,,,,,,,,,20,8,9,3,1,550,63,0.898,3.13
323,Ivan Barbashev,,LW,63,VGK,30,CA$5.0,2.2,0,-6,-1.2,137.8,-185.2,, ,80,15.7,20,27,48,120,2,3,0,0,38,126,7,29,3,23,35,39%,,,,,,,,,,
324,Dmitry Kulikov,N,D,140,FLA,35,CA$1.2,-3.6,0,-6,-5.2,—,N/A,, ,78,15.9,3,13,16,67,0,0,0,0,77,105,4,31,0,0,0,0%,,,,,,,,,,
325,Tyler Tucker,N,D,141,STL,26,CA$0.9,-3.6,-0.1,-6,-6.5,—,N/A,, ,61,14.7,3,7,10,52,0,0,0,1,67,110,0,56,0,0,0,0%,,,,,,,,,,
326,Evgeni Malkin,N,"C,LW",64,PIT,39,CA$6.1,2.1,0,-6,-1,177,-149,, ,80,17.8,22,38,59,163,5,15,0,0,49,41,-5,53,2,358,392,48%,,,,,,,,,,
327,Cutter Gauthier,N,LW,65,ANA,22,CA$1.0,2.1,0,-6.1,-6.4,173.1,-153.9,,+,81,16.8,23,28,52,215,3,8,0,0,54,80,-3,28,3,24,42,37%,,,,,,,,,,
328,Stefan Noesen,N,LW,66,N.J,33,CA$2.8,2.1,0,-6.1,-2.2,—,N/A,, ,72,15.9,18,21,38,142,6,11,0,0,27,126,5,37,3,42,48,47%,,,,,,,,,,
329,Pavel Mintyukov,N,D,142,ANA,22,CA$0.9,-3.7,0,-6.1,-6.6,—,N/A,,+,75,19.4,6,21,26,92,0,4,0,0,103,96,-6,29,1,0,0,0%,,,,,,,,,,
330,Connor McMichael,N,LW,67,WSH,25,CA$2.1,2.1,0,-6.1,-2.9,—,N/A,, ,81,16.8,23,25,48,167,4,10,0,1,38,47,3,38,4,107,130,45%,,,,,,,,,,
331,Joonas Korpisalo,N,G,58,BOS,31,CA$3.0,-3.4,-0.1,-6.1,-2,—,N/A,, ,,,,,,,,,,,,,,,,,,,,25,10,11,4,1,672,77,0.897,3.09
332,Adam Fantilli,N,C,67,CBJ,21,CA$1.0,2,0,-6.2,-6.5,166.5,-165.5,,+,76,17.9,29,26,54,190,3,6,0,1,50,100,-3,24,4,393,544,42%,,,,,,,,,,
333,Evander Kane,N,LW,68,VAN,34,CA$5.1,2,0,-6.2,-1.2,170,-163,, ,66,15.3,19,17,36,167,2,5,0,0,26,155,-1,47,3,23,30,44%,,,,,,,,,,
334,Brayden Pachal,N,D,143,CGY,26,CA$1.2,-3.8,-0.1,-6.2,-5.2,—,N/A,, ,69,14.3,3,8,10,60,0,0,0,0,78,131,-4,54,0,0,0,0%,,,,,,,,,,
335,Warren Foegele,N,RW,65,L.A,29,CA$3.5,1.5,0,-6.2,-1.8,178,-157,, ,81,15.5,21,22,43,186,1,1,1,1,38,82,4,31,3,20,26,44%,,,,,,,,,,
336,Samuel Ersson,N,G,59,PHI,25,CA$1.5,-3.6,-0.1,-6.2,-4.3,—,N/A,, ,,,,,,,,,,,,,,,,,,,,48,21,20,7,2,"1,245",144,0.896,3.01
337,Mason Lohrei,N,D,144,BOS,25,CA$3.2,-3.9,-0.1,-6.2,-1.9,—,N/A,, ,71,19.6,6,24,30,88,1,13,0,0,100,46,-5,25,1,0,0,0%,,,,,,,,,,
338,Marco Kasper,N,"C,LW",69,DET,21,CA$0.9,1.9,0,-6.3,-7.1,—,N/A,, ,79,16.5,21,22,43,161,3,7,0,0,50,152,-1,30,3,308,382,45%,,,,,,,,,,
339,Nino Niederreiter,N,LW,70,WPG,33,CA$4.0,1.8,0,-6.3,-1.6,—,N/A,, ,81,14.9,18,19,37,157,3,7,0,0,40,135,4,27,3,21,22,49%,,,,,,,,,,
340,Patrick Kane,N,RW,66,DET,37,CA$3.0,1.4,0,-6.4,-2.1,169.6,-170.4,,-,75,18,23,37,59,188,8,24,0,0,25,26,-2,20,3,3,7,32%,,,,,,,,,,
341,Ryan Hartman,N,"C,RW",67,MIN,31,CA$4.0,1.3,0,-6.4,-1.6,—,N/A,, ,76,14.6,15,20,35,162,3,6,0,0,48,76,2,53,2,304,351,46%,,,,,,,,,,
342,Marco Rossi,N,C,69,MIN,24,CA$5.0,1.7,0,-6.4,-1.3,176.5,-165.5,, ,76,18,22,29,51,140,5,12,0,0,38,53,3,31,3,404,475,46%,,,,,,,,,,
343,Cody Ceci,N,D,145,L.A,32,CA$4.5,-4,0,-6.4,-1.4,—,N/A,, ,82,18.5,4,18,21,85,0,0,0,1,121,79,0,22,1,0,0,0%,,,,,,,,,,
344,Alex Laferriere,N,RW,69,L.A,24,CA$4.1,1.2,0,-6.5,-1.6,—,N/A,, ,81,15.1,17,20,37,177,2,5,0,0,39,115,3,32,3,36,46,44%,,,,,,,,,,
345,Zach Bogosian,N,D,146,MIN,35,CA$1.3,-4.1,-0.1,-6.5,-5.2,—,N/A,, ,76,15.9,3,11,14,77,0,0,0,0,85,88,0,38,0,0,0,15%,,,,,,,,,,
346,Mattias Samuelsson,N,D,147,BUF,26,CA$4.3,-4.1,-0.1,-6.5,-1.5,—,N/A,, ,70,19.3,3,11,14,69,0,0,0,0,113,117,0,25,0,0,0,0%,,,,,,,,,,
347,Arturs Silovs,N,G,60,PIT,24,CA$0.9,-3.9,-0.1,-6.5,-7.7,—,N/A,, ,,,,,,,,,,,,,,,,,,,,32,13,14,5,1,870,100,0.897,3.12
348,Philipp Grubauer,N,G,61,SEA,33,CA$5.9,-3.9,-0.2,-6.5,-1.1,—,N/A,, ,,,,,,,,,,,,,,,,,,,,24,10,11,4,1,656,76,0.896,3.16
349,Jamie Drysdale,N,D,148,PHI,23,CA$2.3,-4.2,-0.1,-6.5,-2.8,—,N/A,,+,69,21.3,8,18,26,85,3,10,0,0,102,42,-5,25,1,0,0,0%,,,,,,,,,,
350,Michael Bunting,N,LW,71,NSH,30,CA$4.5,1.6,0,-6.6,-1.5,—,N/A,, ,81,15.8,19,26,45,164,7,13,0,0,24,72,-3,57,3,5,9,34%,,,,,,,,,,
351,Kaedan Korczak,N,D,149,VGK,25,CA$3.3,-4.2,-0.1,-6.6,-2,—,N/A,, ,68,16.6,2,16,18,70,0,0,0,0,80,99,7,17,0,0,0,0%,,,,,,,,,,
352,Ryan Donato,N,"LW,RW",72,CHI,29,CA$4.0,1.6,0,-6.6,-1.6,181.4,-170.6,, ,80,17.3,25,28,53,186,3,10,0,0,24,107,-7,38,3,217,275,44%,,,,,,,,,,
353,Kyle Palmieri,N,RW,70,NYI,35,CA$4.8,1.1,0,-6.6,-1.4,—,N/A,, ,79,17.4,25,24,49,173,6,11,0,1,45,65,-2,26,4,12,19,39%,,,,,,,,,,
354,Sam Malinski,N,D,150,COL,27,CA$1.4,-4.3,-0.1,-6.6,-4.7,—,N/A,, ,70,15.8,4,11,16,97,0,0,0,0,91,59,5,19,1,0,0,0%,,,,,,,,,,
355,Ryan O'Reilly,N,C,70,NSH,35,CA$4.5,1.5,0,-6.7,-1.5,—,N/A,, ,79,19.5,23,35,58,162,9,19,0,0,65,29,-3,25,3,766,625,55%,,,,,,,,,,
356,Zachary Bolduc,N,RW,71,MTL,23,CA$0.9,1,0,-6.7,-7.7,—,N/A,, ,72,14.4,21,18,39,136,5,9,0,0,38,96,3,28,3,4,9,29%,,,,,,,,,,
357,Olen Zellweger,N,D,151,ANA,22,CA$0.8,-4.3,-0.1,-6.7,-7.9,—,N/A,, ,67,19.1,7,16,23,125,1,5,0,0,89,55,-4,23,1,0,0,0%,,,,,,,,,,
358,Trevor Van Riemsdyk,N,D,152,WSH,34,CA$3.0,-4.3,-0.1,-6.7,-2.2,—,N/A,, ,80,17.6,2,16,19,81,0,0,0,0,132,34,3,23,0,0,0,0%,,,,,,,,,,
359,Jeff Petry,N,D,153,FLA,38,CA$0.8,-4.4,-0.1,-6.8,-8.7,—,N/A,, ,72,15.1,3,14,17,63,0,0,0,0,92,87,3,25,0,0,0,0%,,,,,,,,,,
360,Olli Maatta,N,D,154,UTA,31,CA$3.5,-4.4,-0.1,-6.8,-1.9,—,N/A,, ,79,19.5,4,18,22,76,0,0,0,0,128,54,0,21,1,0,0,0%,,,,,,,,,,
361,Mason Marchment,N,LW,73,SEA,30,CA$4.5,1.4,0,-6.8,-1.5,—,N/A,,-,77,15.5,20,26,46,150,4,9,0,0,30,92,-4,54,3,12,15,45%,,,,,,,,,,
362,Tyler Seguin,N,"C,RW",72,DAL,34,CA$9.9,0.9,0,-6.8,-0.7,165,-197,, ,69,15.2,22,27,49,147,4,8,0,0,22,51,6,22,4,338,275,55%,,,,,,,,,,
363,Denton Mateychuk,N,D,155,CBJ,21,CA$0.9,-4.4,-0.1,-6.8,-7.7,—,N/A,, ,67,19.3,6,16,21,75,0,1,0,0,99,60,-2,31,1,0,0,0%,,,,,,,,,,
364,Bobby McMann,N,LW,74,TOR,29,CA$1.4,1.3,0,-6.8,-5.1,—,N/A,, ,74,14.2,19,15,34,164,2,4,0,0,26,136,5,32,3,7,13,33%,,,,,,,,,,
365,Garnet Hathaway,N,RW,73,PHI,34,CA$2.4,0.9,0,-6.8,-2.9,—,N/A,, ,80,11.9,10,11,21,93,0,0,1,2,67,269,-3,51,1,10,12,45%,,,,,,,,,,
366,Josh Norris,N,C,72,BUF,26,CA$8.0,1.3,0,-6.9,-0.9,—,N/A,, ,66,17.9,21,18,39,122,5,11,1,3,49,133,-1,34,3,459,402,53%,,,,,,,,,,
367,Jacob Bernard-Docker,N,D,156,DET,25,CA$0.9,-4.5,-0.1,-6.9,-7.9,—,N/A,, ,67,18,4,12,16,67,0,0,0,1,121,70,-1,31,1,0,0,0%,,,,,,,,,,
368,Jake Neighbours,N,"LW,RW",75,STL,23,CA$3.8,1.3,0,-6.9,-1.8,—,N/A,, ,77,14.8,20,18,37,112,5,10,0,0,48,133,0,37,3,7,12,37%,,,,,,,,,,
369,Nick Jensen,N,D,157,OTT,35,CA$4.1,-4.5,-0.1,-6.9,-1.7,—,N/A,, ,79,19.3,3,18,21,85,0,0,0,0,112,71,1,16,1,0,0,0%,,,,,,,,,,
370,Ryan Lindgren,N,D,158,SEA,28,CA$4.5,-4.6,-0.1,-6.9,-1.5,—,N/A,, ,78,17.7,3,16,19,69,0,0,0,1,112,88,-5,38,0,0,0,0%,,,,,,,,,,
371,Derek Forbort,N,D,159,VAN,34,CA$2.0,-4.6,-0.1,-7,-3.5,—,N/A,, ,68,17.2,3,10,13,52,0,0,0,0,100,90,-1,38,0,0,0,0%,,,,,,,,,,
372,Oliver Bjorkstrand,N,RW,74,T.B,30,CA$5.4,0.7,0,-7,-1.3,175,-197,, ,75,14,18,26,43,148,5,14,0,0,26,67,6,16,3,5,12,31%,,,,,,,,,,
373,Leo Carlsson,N,C,73,ANA,21,CA$1.0,1.1,0,-7,-7.4,—,N/A,,+ + +,76,19,28,35,63,162,6,14,1,2,41,36,-5,24,4,327,517,39%,,,,,,,,,,
374,Ryker Evans,N,D,160,SEA,24,CA$2.1,-4.6,-0.1,-7,-3.4,—,N/A,, ,73,18.3,4,16,21,65,0,3,0,0,99,108,-6,31,1,0,0,0%,,,,,,,,,,
375,Arvid Soderblom,N,G,62,CHI,26,CA$2.8,-4.4,-0.1,-7.1,-2.6,—,N/A,, ,,,,,,,,,,,,,,,,,,,,30,11,14,5,1,825,95,0.897,3.16
376,Ty Emberson,N,D,161,EDM,25,CA$1.3,-4.7,-0.1,-7.1,-5.5,—,N/A,, ,69,14.9,2,10,12,56,0,0,0,1,84,109,5,18,0,0,0,0%,,,,,,,,,,
377,Boone Jenner,N,"C,LW",76,CBJ,32,CA$3.8,1.1,0,-7.1,-1.9,176.5,-200.5,, ,67,17.7,20,20,41,170,5,8,1,1,57,105,-1,28,3,467,401,54%,,,,,,,,,,
378,Mats Zuccarello,N,RW,76,MIN,38,CA$4.1,0.6,0,-7.2,-1.7,173.3,-204.7,, ,78,17.2,17,34,51,151,3,14,0,0,49,38,1,26,3,17,26,39%,,,,,,,,,,
379,Conor Timmins,N,D,162,BUF,27,CA$2.2,-4.8,-0.1,-7.2,-3.3,—,N/A,, ,69,15.7,3,14,18,66,0,1,0,0,84,67,2,29,0,0,0,0%,,,,,,,,,,
380,Fabian Zetterlund,N,RW,79,OTT,26,CA$4.3,0.5,0,-7.3,-1.7,—,N/A,, ,81,14.7,16,19,36,157,4,8,0,0,62,114,1,21,3,21,25,46%,,,,,,,,,,
381,Ryan Leonard,N,RW,80,WSH,21,CA$1.0,0.4,0,-7.3,-7.7,—,N/A,,+,75,15.1,16,18,35,146,3,7,0,0,35,102,1,39,3,9,0,100%,,,,,,,,,,
382,Nick Blankenburg,N,D,163,NSH,27,CA$0.8,-5,-0.1,-7.3,-9.5,—,N/A,, ,64,19.6,5,13,18,84,1,5,0,0,86,70,-3,27,1,0,0,0%,,,,,,,,,,
383,Drew Helleson,N,D,164,ANA,24,CA$1.1,-5,-0.1,-7.4,-6.7,—,N/A,, ,66,16.5,4,11,15,72,0,0,0,1,86,100,-4,35,1,0,0,0%,,,,,,,,,,
384,Brandon Duhaime,N,RW,81,WSH,28,CA$1.9,0.3,0,-7.4,-4,—,N/A,, ,79,13.3,9,10,19,92,0,0,1,1,56,175,1,62,1,14,22,39%,,,,,,,,,,
385,Joel Hanley,N,D,165,CGY,34,CA$1.8,-5,-0.1,-7.4,-4.2,—,N/A,, ,66,18.6,3,10,13,56,0,0,0,0,106,76,-3,38,0,0,0,0%,,,,,,,,,,
