RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
41,Brandon Hagel,N,"LW,RW",10,T.B,27,CA$6.5,10.2,0.1,2,0.3,56.3,15.3,, ,82,20.8,32,49,81,214,2,10,1,4,56,62,10,52,5,13,25,35%,,,,,,,,,,
42,Anthony Stolarz,N,G,3,TOR,31,CA$2.5,4.6,0.1,1.9,0.8,65.9,23.9,, ,,,,,,,,,,,,,,,,,,,,42,24,14,5,3,"1,115",105,0.914,2.5
43,Jack Eichel,N,C,11,VGK,29,CA$10.0,10.1,0.1,1.9,0.2,15.6,-27.4,, ,77,20.9,32,56,88,258,7,28,1,2,60,33,8,17,5,558,667,46%,,,,,,,,,,
44,Lane Hutson,N,D,19,MTL,22,CA$1.0,4.3,0.1,1.9,2,50.6,6.6,, ,80,23.1,7,58,66,102,2,28,0,0,117,46,3,38,1,0,0,0%,,,,,,,,,,
45,Brayden Point,N,C,12,T.B,30,CA$9.5,10,0.1,1.8,0.2,24.6,-20.4,, ,81,19.5,43,42,86,209,15,29,0,0,45,30,8,14,7,414,447,48%,,,,,,,,,,
46,Jason Robertson,N,"LW,RW",11,DAL,26,CA$7.8,10,0.1,1.8,0.2,34.7,-11.3,, ,82,18,34,49,83,232,10,26,0,0,40,65,9,23,6,2,12,15%,,,,,,,,,,
47,Charlie McAvoy,N,D,20,BOS,28,CA$9.5,4.1,0.1,1.7,0.2,101.4,54.4,, ,74,23.1,10,33,43,133,2,12,0,1,131,127,-1,58,1,0,0,0%,,,,,,,,,,
48,Dougie Hamilton,N,D,21,N.J,32,CA$9.0,4,0.1,1.6,0.2,74.2,26.2,, ,70,19.8,12,34,46,188,6,18,0,0,91,76,4,37,2,0,0,0%,,,,,,,,,,
49,Martin Necas,N,RW,13,COL,27,CA$6.5,9.3,0.1,1.6,0.2,47.9,-1.1,,+,81,18.8,30,51,81,224,12,32,0,0,28,69,6,31,5,70,112,38%,,,,,,,,,,
50,Matthew Knies,N,LW,12,TOR,23,CA$7.8,9.7,0.1,1.6,0.2,86.7,36.7,, ,81,19.7,29,35,64,174,7,20,0,0,44,182,6,51,4,0,1,0%,,,,,,,,,,
51,Sebastian Aho,N,C,13,CAR,28,CA$9.8,9.7,0.1,1.6,0.2,66,15,, ,80,19.8,33,46,78,214,7,24,2,4,29,59,7,43,6,633,539,54%,,,,,,,,,,
52,Tage Thompson,N,"C,RW",14,BUF,28,CA$7.1,9.3,0.1,1.6,0.2,39.3,-12.7,, ,79,18.8,41,35,76,264,10,21,0,0,33,76,2,34,6,337,446,43%,,,,,,,,,,
53,Mark Scheifele,N,C,14,WPG,33,CA$8.5,9.7,0.1,1.5,0.2,60.1,7.1,, ,81,20.6,35,46,81,185,9,22,0,0,54,71,5,40,6,617,651,49%,,,,,,,,,,
54,Filip Forsberg,N,LW,13,NSH,31,CA$8.5,9.7,0.1,1.5,0.2,26.7,-27.3,, ,79,18.7,34,42,77,275,10,25,0,0,47,134,-3,40,5,5,11,30%,,,,,,,,,,
55,Neal Pionk,N,D,22,WPG,30,CA$7.0,3.8,0,1.4,0.2,123.1,68.1,, ,80,22,8,28,36,140,2,8,0,1,123,150,4,47,1,0,0,0%,,,,,,,,,,
56,Nikita Zadorov,N,D,23,BOS,30,CA$5.0,3.8,0,1.4,0.3,173.4,117.4,, ,81,20.7,8,16,23,110,0,0,0,0,110,195,-3,93,1,0,0,0%,,,,,,,,,,
57,Mitch Marner,N,RW,16,VGK,28,CA$12.0,9.1,0.1,1.4,0.1,19.4,-37.6,, ,80,20.8,28,67,95,178,7,29,1,2,44,57,7,23,5,5,21,19%,,,,,,,,,,
58,Radko Gudas,N,D,24,ANA,35,CA$4.0,3.7,0,1.3,0.3,173.3,115.3,, ,79,19.7,4,16,20,97,0,0,0,0,163,226,-3,80,1,0,0,0%,,,,,,,,,,
59,Sam Bennett,N,C,15,FLA,29,CA$8.0,9.4,0.1,1.3,0.2,145.2,86.2,, ,77,17.3,25,29,54,236,6,11,0,0,47,153,6,69,4,463,538,46%,,,,,,,,,,
60,Kyle Connor,N,LW,14,WPG,29,CA$7.1,9.2,0.1,1,0.1,16.3,-43.7,, ,80,20.5,38,47,85,260,7,24,1,1,41,27,4,23,7,2,6,20%,,,,,,,,,,
61,Timo Meier,N,"LW,RW",15,N.J,29,CA$8.8,9.1,0.1,1,0.1,93,32,, ,79,18.2,31,29,60,254,10,17,0,0,58,128,5,40,5,15,26,37%,,,,,,,,,,
