,,,,,PLAYER STATS,,,,,,,,,,,,,,,,
Player,Team,Age,Pos,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%
Quinn Hughes,VAN,26,D,79.1450000000000000000000000,25.6369237786047000000000000,0.1870431567698070000000000,0.8602329662191060000000000,1.0472761229889100000000000,2.6031824323288200000000000,0.0489011200688924000000000,0.4057699105267650000000000,0.0000487238908139900000000,0.0006730807597739090000000,1.0326029224388000000000000,0.3913822602421020000000000,0.0476278317580693000000000,0.4303565806323820000000000,0.0295351680506202000000000,0.0005246996028037990000000,0.0015224905112143900000000,0.2563023332375950000000000
Clayton Keller,UTA,27,"LW,RW",81.4900000000000000000000000,19.0785248111497000000000000,0.3969548402295150000000000,0.6452233239497820000000000,1.0421781641793000000000000,2.7069908728762200000000000,0.1165943249314890000000000,0.3959682285930120000000000,0.0002090922159287630000000,0.0002690634965292340000000,0.3891747947087340000000000,0.2477329574215230000000000,-0.0021061011895647300000000,0.4105979237088800000000000,0.0603859488313056000000000,0.1847420751858000000000000,0.3021948008155160000000000,0.3793963535949170000000000
J.T. Miller,NYR,33,"C,RW",80.4500000000000000000000000,18.8517886613629000000000000,0.3634121323698760000000000,0.6547990115584770000000000,1.0182111439283500000000000,2.1527309918006000000000000,0.0888076028013866000000000,0.3134193539372760000000000,0.0156560557315706000000000,0.0373282266130133000000000,0.7049402357950790000000000,2.2848700819000700000000000,0.0322499080522785000000000,0.6830663107990850000000000,0.0607132732096205000000000,8.4127796352975900000000000,6.4471781735062000000000000,0.5661375182581900000000000
Jason Robertson,DAL,26,"LW,RW",82.0300000000000000000000000,18.0148252840293000000000000,0.4195462390540050000000000,0.5969327769982760000000000,1.0164790160522800000000000,2.8326462166057600000000000,0.1190529893015990000000000,0.3142849386194460000000000,0.0000176728147244491000000,0.0000293889106128993000000,0.4924301326974930000000000,0.7968487709604850000000000,0.1046121772215050000000000,0.2771518005654540000000000,0.0688083326029499000000000,0.0247251434820688000000000,0.1411000532217940000000000,0.1491036583916980000000000
Jake Guentzel,T.B,31,LW,78.7000000000000000000000000,20.0224564927592000000000000,0.4728928193466370000000000,0.5414765353577390000000000,1.0143693547043800000000000,2.8936499461637200000000000,0.1406522322211330000000000,0.3056011609794110000000000,0.0085384463720734400000000,0.0097226880342171600000000,0.5950535591602440000000000,0.5318386020760550000000000,0.1187145060253740000000000,0.4059273851376910000000000,0.0795626923590757000000000,1.4635569390480400000000000,2.1065778682893800000000000,0.4099444469267940000000000
Robert Thomas,STL,26,C,79.0000000000000000000000000,19.5950762162094000000000000,0.3088701955390040000000000,0.7036483615278100000000000,1.0125185570668100000000000,2.0016142354092400000000000,0.0662432443467904000000000,0.2597554904656730000000000,0.0143523867821817000000000,0.0230196347248500000000000,0.5756201414625990000000000,0.2835536432390940000000000,0.0351079006843555000000000,0.3691086187829280000000000,0.0480036422689410000000000,9.7617499826844300000000000,8.5318144311952100000000000,0.5336166184911470000000000
Jesper Bratt,N.J,27,"LW,RW",81.8525000000000000000000000,19.1131152941076000000000000,0.3125376637517850000000000,0.6984393183707020000000000,1.0109769821224900000000000,2.4760300530761800000000000,0.0715988916187173000000000,0.3577612373429060000000000,0.0092163383237554500000000,0.0292356345843223000000000,0.4913357888046180000000000,1.0107474201361500000000000,0.0711976198184473000000000,0.2201889942917630000000000,0.0490473528151805000000000,0.0086163385108906700000000,0.0581958449159056000000000,0.1289635822234620000000000
Mark Scheifele,WPG,33,C,80.8300000000000000000000000,20.5580017926829000000000000,0.4368279602786490000000000,0.5685250567774230000000000,1.0053530170560700000000000,2.2892747466262300000000000,0.1156156988241130000000000,0.2712754775005830000000000,0.0008309792946077390000000,0.0013818724742590900000000,0.6651585555142090000000000,0.8790243630499850000000000,0.0579871163150726000000000,0.4943427553494760000000000,0.0748131497190255000000000,7.6367920277925700000000000,8.0516306943304800000000000,0.4867788281242280000000000
Sam Reinhart,FLA,30,"C,RW",81.4975000000000000000000000,20.3339046305042000000000000,0.5041292574355460000000000,0.4972991038142120000000000,1.0014283612497600000000000,2.7341082754167100000000000,0.1822369035641090000000000,0.3251832903053990000000000,0.0359735856827133000000000,0.0465327826530051000000000,0.7564572785452450000000000,1.1249233277881400000000000,0.0912716265376189000000000,0.3006762970811700000000000,0.0740791598226926000000000,2.8352060887837000000000000,3.5319868498495700000000000,0.4452835207145900000000000
Brandon Hagel,T.B,27,"LW,RW",81.9300000000000000000000000,20.8098904839939000000000000,0.3882178489856280000000000,0.5993274803349890000000000,0.9875453293206170000000000,2.6117979166530000000000000,0.0269664561638173000000000,0.1162347230083810000000000,0.0149048835883640000000000,0.0439917309883926000000000,0.6861823550853630000000000,0.7513399405055120000000000,0.1229490774905300000000000,0.6310601735741300000000000,0.0653164015681629000000000,0.1646455833798430000000000,0.3004975985739830000000000,0.3539675303596880000000000
Elias Pettersson,VAN,27,"C,LW",78.6350000000000000000000000,20.0578068896249000000000000,0.3687987725441660000000000,0.6103396344628660000000000,0.9791384070070320000000000,2.3168789962189800000000000,0.1193750445011030000000000,0.2977901017583880000000000,0.0080930894673527200000000,0.0248697924959600000000000,1.0692777562925600000000000,1.2392705424997100000000000,0.0245714108014151000000000,0.2453360832055560000000000,0.0582354035938335000000000,6.8756616314443500000000000,7.4721461555978400000000000,0.4792133915854310000000000
Nick Suzuki,MTL,26,C,82.0300000000000000000000000,20.7629549847561000000000000,0.3734634389579550000000000,0.6030247074317740000000000,0.9764881463897290000000000,2.1813662718296300000000000,0.0847120605789968000000000,0.3079570728964270000000000,0.0238560372829312000000000,0.0252703216819426000000000,0.7974551277577180000000000,0.7828937983454010000000000,0.0304051034997776000000000,0.3020083487410500000000000,0.0584382066430673000000000,8.3972550161045400000000000,8.1099526376085100000000000,0.5087023312641070000000000
Sebastian Aho,CAR,28,C,80.2475000000000000000000000,19.7753914939546000000000000,0.4065960771364850000000000,0.5670405089575300000000000,0.9736365860940160000000000,2.6671493355769900000000000,0.0912172169607737000000000,0.3002821927019600000000000,0.0271624777714109000000000,0.0558526530897326000000000,0.3653437311922900000000000,0.7370532348080710000000000,0.0909384140284972000000000,0.5327987099453940000000000,0.0687480256920493000000000,7.8938502673145000000000000,6.7146142471934300000000000,0.5403613952359590000000000
Filip Forsberg,NSH,31,LW,78.8300000000000000000000000,18.6873655137195000000000000,0.4364623297876370000000000,0.5366512568549900000000000,0.9731135866426270000000000,3.4888384189890700000000000,0.1232774253082480000000000,0.3136815669528520000000000,0.0001769679000353450000000,0.0002942878017216000000000,0.5939658596702020000000000,1.6965157724406300000000000,-0.0341201442326002000000000,0.5071293577929570000000000,0.0576675521077505000000000,0.0602845117990910000000000,0.1401876386056320000000000,0.3007126509960890000000000
Tage Thompson,BUF,28,"C,RW",79.0525000000000000000000000,18.7956038463775000000000000,0.5188750194249110000000000,0.4482667974775500000000000,0.9671418169024610000000000,3.3440944490929300000000000,0.1302883044124410000000000,0.2623485745060670000000000,0.0005952676624686060000000,0.0006835258790893210000000,0.4214807727289930000000000,0.9584286231863220000000000,0.0296465026724105000000000,0.4318590420234130000000000,0.0747049585669341000000000,4.2607083085347600000000000,5.6466000179173000000000000,0.4300571021050050000000000
Nico Hischier,N.J,27,C,79.1750000000000000000000000,20.5931116806402000000000000,0.4306467417183010000000000,0.5359744487281950000000000,0.9666211904464960000000000,2.7062370097848700000000000,0.1336717947487620000000000,0.3067015542438570000000000,0.0125453459273717000000000,0.0300951145945941000000000,0.7540147534070410000000000,0.6152478623297830000000000,0.0755242956717757000000000,0.2626366473562300000000000,0.0675825192593120000000000,12.8498671058889000000000000,10.3243098355585000000000000,0.5544907652321720000000000
Travis Konecny,PHI,29,"LW,RW",79.0050000000000000000000000,20.8155884188263000000000000,0.3827276210801740000000000,0.5746562803288350000000000,0.9573839014090100000000000,2.6621839582118300000000000,0.0777814605786539000000000,0.1864527022809290000000000,0.0311240666062271000000000,0.0516834721759983000000000,0.5158093698986950000000000,1.1303069746085000000000000,-0.0492509541796574000000000,0.6866207354728350000000000,0.0552290140530457000000000,0.5011618939992200000000000,0.7239974765783410000000000,0.4090585323303390000000000
Lucas Raymond,DET,23,RW,81.2300000000000000000000000,19.4743547002194000000000000,0.3616973109578400000000000,0.5899508076910890000000000,0.9516481186489290000000000,2.3472953885181000000000000,0.0881300697907859000000000,0.3423744538641290000000000,0.0103838032914043000000000,0.0118239871296966000000000,0.4304925082726790000000000,0.6591560754074100000000000,-0.0352579562864701000000000,0.3460732571949890000000000,0.0501632576968167000000000,0.0321036489222672000000000,0.0933482101222548000000000,0.2559041306105620000000000
Martin Necas,COL,27,RW,80.8100000000000000000000000,18.8357854094387000000000000,0.3528633929803910000000000,0.5972773194148430000000000,0.9501407123952340000000000,2.6992857608806500000000000,0.1379586402845440000000000,0.3774017862261340000000000,0.0002316789817787240000000,0.0006890889530916270000000,0.3477634745277620000000000,0.8549402734880410000000000,0.0680372334096774000000000,0.3867171667777870000000000,0.0556115955563191000000000,0.8668340502672370000000000,1.3848312398242100000000000,0.3849746470231530000000000
Nikolaj Ehlers,CAR,30,"LW,RW",76.0225000000000000000000000,17.8075093933464000000000000,0.3599255625208760000000000,0.5853419492169740000000000,0.9452675117378500000000000,2.9241847249973200000000000,0.0768363165974909000000000,0.2949376385732340000000000,0.0001994968676564490000000,0.0003317522252410490000000,0.5048513895032760000000000,0.6064799137412350000000000,0.0954563427022968000000000,0.3540801049432020000000000,0.0608568877340751000000000,0.0806951855325391000000000,0.1858526353088660000000000,0.3027418692743790000000000
