,,,,GOALIE STATS,,,,,,,
Player,Team,Age,Pos,GP,W,L,OTL,SO,SV,SV%,GA
Jakub Dobes,MTL,24,G,20.00000000000000000000,0.48379469271108600000,0.38715398046668600000,0.12905132682222900000,0.04285531722987500000,27.08624110309680000000,0.90077922928000700000,2.98354761166612000000
Jacob Markstrom,N.J,35,G,50.00000000000000000000,0.55216578218680600000,0.33587566335989600000,0.11195855445329900000,0.06073982969922900000,26.14871061868620000000,0.90486664959992100000,2.74915033159595000000
Jake Allen,N.J,35,G,30.00000000000000000000,0.53795586714881000000,0.34653309963839300000,0.11551103321279800000,0.05298769896118930000,26.04710995370530000000,0.90135079542802700000,2.85075099657681000000
Juuse Saros,NSH,30,G,60.00000000000000000000,0.42930736677651800000,0.42801947491761200000,0.14267315830587100000,0.05087094358759400000,27.75929366196950000000,0.90604760347620100000,2.87849353096207000000
Justus Annunen,NSH,25,G,20.00000000000000000000,0.41285016151064000000,0.44036237886702000000,0.14678745962234000000,0.03163369480377320000,27.50716720346590000000,0.89781833884570200000,3.13061998946562000000
Ilya Sorokin,NYI,30,G,55.00000000000000000000,0.46504552382046000000,0.40121585713465500000,0.13373861904488500000,0.06838399157826490000,26.65847537562530000000,0.90961459906551800000,2.64896472374489000000
David Rittich,NYI,33,G,25.00000000000000000000,0.43710217990555200000,0.42217336507083600000,0.14072445502361200000,0.04833663843545720000,26.39573155986110000000,0.90064950982970200000,2.91170853950908000000
Igor Shesterkin,NYR,29,G,60.00000000000000000000,0.53606764938878500000,0.34794926295841200000,0.11598308765280400000,0.06206289668414320000,27.57652760319550000000,0.90986605601626500000,2.73181000413967000000
Jonathan Quick,NYR,39,G,20.00000000000000000000,0.49403158962236700000,0.37947630778322500000,0.12649210259440900000,0.03898575915547030000,27.27407494882230000000,0.89988686618765600000,3.03426265851284000000
Linus Ullmark,OTT,32,G,52.00000000000000000000,0.52926538401529400000,0.35305096198852900000,0.11768365399617700000,0.07326275460995120000,26.51844837194920000000,0.91117819405821000000,2.58502287536106000000
Leevi Merilainen,OTT,23,G,28.00000000000000000000,0.50679457775459600000,0.36990406668405400000,0.12330135556135100000,0.05782741065835190000,26.31615028608290000000,0.90422719896393900000,2.78732096122737000000
Dan Vladar,PHI,28,G,24.00000000000000000000,0.44126269865860000000,0.41905297600605000000,0.13968432533535000000,0.04471908387278750000,25.99036718253880000000,0.89778331171022700000,2.95912078803686000000
Samuel Ersson,PHI,25,G,48.00000000000000000000,0.44174292731744200000,0.41869280451191900000,0.13956426817064000000,0.04082584437319330000,25.93934176314690000000,0.89602074446055200000,3.01014620742866000000
Tristan Jarry,PIT,30,G,40.00000000000000000000,0.41036546596017000000,0.44222590052987300000,0.14740863350995800000,0.04586817468698880000,27.34649557473330000000,0.90280599005326800000,2.94406062009189000000
Arturs Silovs,PIT,24,G,32.00000000000000000000,0.40371424712182200000,0.44721431465863400000,0.14907143821954500000,0.03261547230127500000,27.17280353822330000000,0.89707179239136800000,3.11775265660190000000
Yaroslav Askarov,S.J,23,G,48.00000000000000000000,0.39646607118450400000,0.45265044661162300000,0.15088348220387400000,0.04914576135313910000,28.23046777091440000000,0.90681151397322800000,2.90110404517511000000
Alex Nedeljkovic,S.J,29,G,32.00000000000000000000,0.37797470191281600000,0.46651897356538800000,0.15550632452179600000,0.03483146500433890000,28.04286231418050000000,0.90078530181014700000,3.08870950190906000000
Joey Daccord,SEA,29,G,54.00000000000000000000,0.44368928471869800000,0.41723303646097600000,0.13907767882032600000,0.05963382580932420000,27.73831775047620000000,0.90939449549655700000,2.76364579542170000000
Philipp Grubauer,SEA,33,G,24.00000000000000000000,0.41079335197066400000,0.44190498602200000000,0.14730166200733400000,0.02957683262295060000,27.34438599180800000000,0.89647953157709300000,3.15757755408977000000
Jordan Binnington,STL,32,G,54.00000000000000000000,0.50060317228742200000,0.37454762078443300000,0.12484920692814400000,0.06564778259112520000,26.20281237517120000000,0.90705969490640500000,2.68482591623689000000
Joel Hofer,STL,25,G,26.00000000000000000000,0.48274814318208800000,0.38793889261343500000,0.12931296420447800000,0.05900475806025470000,26.11574783348220000000,0.90404579183787700000,2.77189045792589000000
Andrei Vasilevskiy,T.B,31,G,60.00000000000000000000,0.62380737573702200000,0.28214446819723300000,0.09404815606574470000,0.08057143806338750000,26.06278120829470000000,0.91281756911385800000,2.48923410139728000000
Jonas Johansson,T.B,29,G,20.00000000000000000000,0.58737060046923500000,0.30947204964807400000,0.10315734988269200000,0.04547512050834070000,25.60280325868720000000,0.89670739459138600000,2.94921205100471000000
Anthony Stolarz,TOR,31,G,42.00000000000000000000,0.56436841840959500000,0.32672368619280500000,0.10890789539760100000,0.08009286097224430000,26.55703781371900000000,0.91410368778302100000,2.49550640927596000000
Joseph Woll,TOR,27,G,38.00000000000000000000,0.54825754521744500000,0.33880684108691600000,0.11293561369563900000,0.06313732965646030000,26.33481590918710000000,0.90645472241784600000,2.71772831380786000000
Karel Vejmelka,UTA,29,G,60.00000000000000000000,0.51017952131774200000,0.36736535901169300000,0.12245511967056500000,0.05637887257559080000,26.75252769112790000000,0.90506033534233100000,2.80630573295425000000
Vitek Vanecek,UTA,28,G,18.00000000000000000000,0.48006939040691800000,0.38994795719481200000,0.12998265239827100000,0.03969889296699110000,26.53391721132970000000,0.89766456039202300000,3.02491621275241000000
Thatcher Demko,VAN,29,G,50.00000000000000000000,0.50066558598411200000,0.37450081051191600000,0.12483360350397200000,0.05986150562877120000,27.29339955702380000000,0.90814347000645100000,2.76066178730313000000
Kevin Lankinen,VAN,30,G,30.00000000000000000000,0.47984299580857700000,0.39011775314356700000,0.13003925104785600000,0.04821552326648630000,27.14076545004760000000,0.90306481839835400000,2.91329589427934000000
Adin Hill,VGK,29,G,54.00000000000000000000,0.59668023853308700000,0.30248982110018500000,0.10082994036672800000,0.07406500566249700000,25.44767908941260000000,0.90812607182619200000,2.57450844479034000000
Akira Schmid,VGK,25,G,24.00000000000000000000,0.57255590733164200000,0.32058306950126900000,0.10686102316709000000,0.05890695602125500000,25.24901526711580000000,0.90103655313482400000,2.77317226708709000000
Connor Hellebuyck,WPG,32,G,60.00000000000000000000,0.57695627039540700000,0.31728279720344500000,0.10576093240114800000,0.09182245900335020000,26.25733498651700000000,0.91811716145561300000,2.34177642197444000000
Eric Comrie,WPG,30,G,20.00000000000000000000,0.51873323407534000000,0.36095007444349500000,0.12031669148116500000,0.05368283522639700000,25.75747097895530000000,0.90063885590891600000,2.84164042953608000000
Logan Thompson,WSH,28,G,48.00000000000000000000,0.52813319137407900000,0.35390010646944200000,0.11796670215648000000,0.06339469015881220000,26.87168710759000000000,0.90825554604510100000,2.71435530591334000000
Charlie Lindgren,WSH,31,G,32.00000000000000000000,0.50967971038182500000,0.36774021721363100000,0.12258007240454400000,0.05291154765485430000,26.73429336572940000000,0.90361167580587600000,2.85174904777386000000
